date,source,GWh,TWh,total_GWh,share
2013-06-01,Wind,13748.10576,13.74810576,346330.82768,0.03969645397175808
2013-07-01,Coal,152866.8527,152.86685269999998,383354.10381999996,0.39876148755610313
2013-07-01,Gas,120770.9808,120.7709808,383354.10381999996,0.3150376625593835
2013-07-01,Hydro,27254.5715,27.254571499999997,383354.10381999996,0.07109502996946422
2013-07-01,Nuclear,70539.238,70.539238,383354.10381999996,0.1840054333502609
2013-07-01,Solar,828.84727,0.82884727,383354.10381999996,0.0021620931189748702
2013-07-01,Wind,11093.61355,11.09361355,383354.10381999996,0.028938293445813466
2013-08-01,Coal,149426.0529,149.4260529,374138.11989000003,0.3993874052286696
2013-08-01,Gas,121156.39696,121.15639696,374138.11989000003,0.3238279943129587
2013-08-01,Hydro,21633.31561,21.63331561,374138.11989000003,0.05782173603791132
2013-08-01,Nuclear,71344.379,71.344379,374138.11989000003,0.19068994899791522
2013-08-01,Solar,944.09174,0.94409174,374138.11989000003,0.002523377570501427
2013-08-01,Wind,9633.88368,9.63388368,374138.11989000003,0.02574953785204365
2013-09-01,Coal,133110.43729,133.11043729,330556.65374000004,0.40268569936183546
2013-09-01,Gas,102063.23334,102.06323334000001,330556.65374000004,0.3087616969291988
2013-09-01,Hydro,16961.1523,16.961152300000002,330556.65374000004,0.05131087850780589
2013-09-01,Nuclear,65798.971,65.79897100000001,330556.65374000004,0.199055049279856
2013-09-01,Solar,948.77866,0.94877866,330556.65374000004,0.002870245234108231
2013-09-01,Wind,11674.08115,11.67408115,330556.65374000004,0.03531643068719552
2013-10-01,Coal,120996.39294,120.99639294,304588.47309,0.39724547587934467
2013-10-01,Gas,88587.40151,88.58740150999999,304588.47309,0.2908429219638398
2013-10-01,Hydro,17198.59414,17.19859414,304588.47309,0.05646501972160368
2013-10-01,Nuclear,63183.533,63.183533000000004,304588.47309,0.2074390155313937
2013-10-01,Solar,987.53341,0.9875334100000001,304588.47309,0.003242189042748847
2013-10-01,Wind,13635.01809,13.635018089999999,304588.47309,0.04476537786106934
2013-11-01,Coal,120939.72975,120.93972975,304506.41637,0.39716644132400947
2013-11-01,Gas,84286.78492,84.28678492,304506.41637,0.27679805872328395
2013-11-01,Hydro,17676.83384,17.67683384,304506.41637,0.05805077623888625
2013-11-01,Nuclear,64975.456,64.975456,304506.41637,0.21337959565702402
2013-11-01,Solar,824.35218,0.82435218,304506.41637,0.0027071750731135504
2013-11-01,Wind,15803.25968,15.80325968,304506.41637,0.051897952983682806
2013-12-01,Coal,141859.66537,141.85966537000002,342034.914,0.41475200210116564
2013-12-01,Gas,92936.2913,92.9362913,342034.914,0.27171580296624337
2013-12-01,Hydro,21128.29918,21.128299180000003,342034.914,0.061772346375142284
2013-12-01,Nuclear,71293.578,71.293578,342034.914,0.20843947527532233
2013-12-01,Solar,850.02134,0.85002134,342034.914,0.002485188807362514
2013-12-01,Wind,13967.05881,13.967058810000001,342034.914,0.040835184474763885
2014-01-01,Coal,157097.36861,157.09736861000002,361617.03973,0.43443021580868024
2014-01-01,Gas,91060.93439,91.06093439,361617.03973,0.2518159389225416
2014-01-01,Hydro,21633.79467,21.63379467,361617.03973,0.059825152836140656
2014-01-01,Nuclear,73162.609,73.162609,361617.03973,0.20232069001678288
2014-01-01,Solar,751.11873,0.7511187300000001,361617.03973,0.0020771109972052755
2014-01-01,Wind,17911.21433,17.91121433,361617.03973,0.04953089141864924
2014-02-01,Coal,143294.48747,143.29448746999998,314115.5335,0.4561840220805253
2014-02-01,Gas,75942.31445,75.94231445000001,314115.5335,0.2417655491398995
2014-02-01,Hydro,17396.12893,17.39612893,314115.5335,0.05538130743222222
2014-02-01,Nuclear,62638.95,62.638949999999994,314115.5335,0.19941372940730417
2014-02-01,Solar,834.9922,0.8349922000000001,314115.5335,0.0026582327549872662
2014-02-01,Wind,14008.66045,14.008660449999999,314115.5335,0.044597159185061436
2014-03-01,Coal,136442.60132,136.44260132,320300.70554,0.42598283100865875
2014-03-01,Gas,78150.91836,78.15091835999999,320300.70554,0.24399233909973483
2014-03-01,Hydro,24257.12925,24.257129250000002,320300.70554,0.07573236284042686
2014-03-01,Nuclear,62397.08,62.39708,320300.70554,0.19480781316046053
2014-03-01,Solar,1317.09371,1.3170937100000002,320300.70554,0.004112053727073411
2014-03-01,Wind,17735.8829,17.7358829,320300.70554,0.055372600163645584
2014-04-01,Coal,109280.59165,109.28059165,288009.61215,0.3794338349828579
2014-04-01,Gas,76781.87947,76.78187947,288009.61215,0.26659485041773806
2014-04-01,Hydro,25439.90661,25.439906609999998,288009.61215,0.08833006100070885
2014-04-01,Nuclear,56384.588,56.384588,288009.61215,0.19577328540907868
2014-04-01,Solar,1487.09725,1.48709725,288009.61215,0.005163359788233374
2014-04-01,Wind,18635.54917,18.635549169999997,288009.61215,0.06470460840138317
2014-05-01,Coal,118785.80061,118.78580061000001,314747.8137,0.3773999228576691
2014-05-01,Gas,89119.67653,89.11967652999999,314747.8137,0.2831462925265746
2014-05-01,Hydro,26543.88511,26.543885109999998,314747.8137,0.08433381886903318
2014-05-01,Nuclear,62947.43,62.94743,314747.8137,0.19999322397199545
2014-05-01,Solar,1749.65461,1.74965461,314747.8137,0.005558909494658708
2014-05-01,Wind,15601.36684,15.60136684,314747.8137,0.04956783228006899
2014-06-01,Coal,137576.92149,137.57692149000002,347648.78182000003,0.39573537628914335
2014-06-01,Gas,98467.60766,98.46760766,347648.78182000003,0.2832387536194013
2014-06-01,Hydro,25743.87767,25.743877670000003,347648.78182000003,0.07405139616835836
2014-06-01,Nuclear,68138.232,68.138232,347648.78182000003,0.19599732708190393
2014-06-01,Solar,1923.32588,1.9233258800000002,347648.78182000003,0.005532382049294304
2014-06-01,Wind,15798.81712,15.798817119999999,347648.78182000003,0.04544476479189867
2014-07-01,Coal,149627.05758,149.62705757999998,374980.94673,0.3990257608681567
2014-07-01,Gas,115081.26949,115.08126949000001,374980.94673,0.30689897845093106
2014-07-01,Hydro,24357.40238,24.35740238,374980.94673,0.06495637336351977
2014-07-01,Nuclear,71940.126,71.940126,374980.94673,0.1918500836571825
2014-07-01,Solar,1787.69886,1.78769886,374980.94673,0.004767439187482793
2014-07-01,Wind,12187.39242,12.18739242,374980.94673,0.03250136447272711
2014-08-01,Coal,148451.62333,148.45162333,373786.04168,0.39715667996262455
2014-08-01,Gas,122348.42288,122.34842288,373786.04168,0.3273220752976727
2014-08-01,Hydro,19807.24668,19.80724668,373786.04168,0.05299086769258515
2014-08-01,Nuclear,71128.746,71.12874599999999,373786.04168,0.1902926756716444
2014-08-01,Solar,1879.48203,1.87948203,373786.04168,0.005028229576344194
2014-08-01,Wind,10170.52076,10.170520759999999,373786.04168,0.027209471799128953
2014-09-01,Coal,126110.38461,126.11038461,329652.82601,0.3825551448667831
2014-09-01,Gas,106581.58568,106.58158568,329652.82601,0.32331464277138294
2014-09-01,Hydro,16074.32674,16.07432674,329652.82601,0.04876138006932295
2014-09-01,Nuclear,67534.5,67.5345,329652.82601,0.20486552721969184
2014-09-01,Solar,1832.26056,1.83226056,329652.82601,0.005558152138954872
2014-09-01,Wind,11519.76842,11.51976842,329652.82601,0.03494515293386427
2014-10-01,Coal,111295.95754,111.29595754,304754.02768,0.36519929986573885
2014-10-01,Gas,97683.01576,97.68301575999999,304754.02768,0.32053068011481645
2014-10-01,Hydro,17159.21225,17.15921225,304754.02768,0.05630512049546278
2014-10-01,Nuclear,62390.988,62.390988,304754.02768,0.20472572085417104
2014-10-01,Solar,1716.92302,1.7169230199999999,304754.02768,0.005633799274353859
2014-10-01,Wind,14507.93111,14.50793111,304754.02768,0.04760537939545698
2014-11-01,Coal,119127.43937,119.12743936999999,307492.62933,0.3874155931137876
2014-11-01,Gas,84353.51326,84.35351326000001,307492.62933,0.2743269438483747
2014-11-01,Hydro,18624.92296,18.62492296,307492.62933,0.060570307004047884
2014-11-01,Nuclear,65140.185,65.140185,307492.62933,0.21184307780623832
2014-11-01,Solar,1379.63993,1.37963993,307492.62933,0.004486741464360029
2014-11-01,Wind,18866.92881,18.86692881,307492.62933,0.06135733676319142
2014-12-01,Coal,124620.11616,124.62011616000001,327092.26706,0.3809937705960514
2014-12-01,Gas,91037.8204,91.0378204,327092.26706,0.2783245877937571
2014-12-01,Hydro,22328.78862,22.32878862,327092.26706,0.06826449558315034
2014-12-01,Nuclear,73362.548,73.36254799999999,327092.26706,0.22428701436265622
2014-12-01,Solar,1031.74441,1.03174441,327092.26706,0.0031542916598842814
2014-12-01,Wind,14711.24947,14.71124947,327092.26706,0.044975840004500785
2015-01-01,Coal,132450.52066,132.45052066,348863.76814,0.3796625868205587
2015-01-01,Gas,101687.39262,101.68739262,348863.76814,0.29148166678974974
2015-01-01,Hydro,24138.3839,24.1383839,348863.76814,0.06919143260045624
2015-01-01,Nuclear,74269.974,74.269974,348863.76814,0.21289105026864028
2015-01-01,Solar,1155.35063,1.1553506299999998,348863.76814,0.0033117529979105036
2015-01-01,Wind,15162.14633,15.162146329999999,348863.76814,0.04346151052268457
2015-02-01,Coal,126976.83198,126.97683198,320444.66490000003,0.39625197698212633
2015-02-01,Gas,91315.16471,91.31516470999999,320444.66490000003,0.28496391019178424
2015-02-01,Hydro,22286.07601,22.286076010000002,320444.66490000003,0.06954734608221588
2015-02-01,Nuclear,63461.493,63.461493000000004,320444.66490000003,0.1980419708962987
2015-02-01,Solar,1483.55386,1.48355386,320444.66490000003,0.004629672522283893
2015-02-01,Wind,14921.54534,14.92154534,320444.66490000003,0.04656512332529085
2015-03-01,Coal,108487.53856,108.48753856,314118.14827,0.34537176268704356
2015-03-01,Gas,99422.71998,99.42271998,314118.14827,0.31651377205541553
2015-03-01,Hydro,24280.90476,24.280904760000002,314118.14827,0.07729863713295983
2015-03-01,Nuclear,64546.799,64.546799,314118.14827,0.20548573635585948
2015-03-01,Solar,2072.25703,2.0722570300000003,314118.14827,0.006597062415568531
2015-03-01,Wind,15307.92894,15.30792894,314118.14827,0.04873302935315307
2015-04-01,Coal,88989.1425,88.9891425,284296.88029,0.31301484001240426
2015-04-01,Gas,92805.99824,92.80599824,284296.88029,0.32644043840837184
2015-04-01,Hydro,22470.97723,22.47097723,284296.88029,0.0790405339906588
2015-04-01,Nuclear,59784.495,59.784495,284296.88029,0.21028895898898434
