source,period,GWh
Nuclear,2009-10,58020.927
Nuclear,2009-09,65751.794
Nuclear,2009-08,72244.597
Nuclear,2009-07,72948.979
Nuclear,2009-06,69734.736
Nuclear,2009-05,65395.452
Nuclear,2009-04,59408.407
Nuclear,2009-03,67240.567
Nuclear,2009-02,64227.211
Nuclear,2009-01,74102.489
Nuclear,2008-12,72931.328
Nuclear,2008-11,63408.145
Nuclear,2008-10,62820.353
Nuclear,2008-09,67053.867
Nuclear,2008-08,72617.066
Nuclear,2008-07,74318.27
Nuclear,2008-06,70319.366
Nuclear,2008-05,64825.901
Nuclear,2008-04,57332.716
Nuclear,2008-03,64716.468
Nuclear,2008-02,65130.385
Nuclear,2008-01,70734.57
Nuclear,2007-12,71982.726
Nuclear,2007-11,64899.278
Nuclear,2007-10,61689.542
Nuclear,2007-09,67578.578
Nuclear,2007-08,72750.91
Nuclear,2007-07,72738.535
Nuclear,2007-06,68923.074
Nuclear,2007-05,65024.555
Nuclear,2007-04,57301.424
Nuclear,2007-03,64305.153
Nuclear,2007-02,65224.794
Nuclear,2007-01,74006.184
Nuclear,2006-12,70489.681
Nuclear,2006-11,61392.321
Nuclear,2006-10,57509.306
Nuclear,2006-09,66642.327
Nuclear,2006-08,72016.095
Nuclear,2006-07,72186.494
Nuclear,2006-06,68391.472
Nuclear,2006-05,62775.701
Nuclear,2006-04,57567.204
Nuclear,2006-03,63720.849
Nuclear,2006-02,62615.654
Nuclear,2006-01,71911.532
Nuclear,2005-12,71735.067
Nuclear,2005-11,62912.709
Nuclear,2005-10,61235.597
Nuclear,2005-09,66738.979
Nuclear,2005-08,71381.55
Nuclear,2005-07,71070.011
Nuclear,2005-06,66144.275
Nuclear,2005-05,62970.464
Nuclear,2005-04,55484.01
Nuclear,2005-03,61538.53
Nuclear,2005-02,60946.934
Nuclear,2005-01,69828.239
Nuclear,2004-12,68616.627
Nuclear,2004-11,58940.863
Nuclear,2004-10,62530.352
Nuclear,2004-09,65932.057
Nuclear,2004-08,71068.483
Nuclear,2004-07,71975.04
Nuclear,2004-06,67734.073
Nuclear,2004-05,64917.412
Nuclear,2004-04,58620.255
Nuclear,2004-03,63285.116
Nuclear,2004-02,64101.949
Nuclear,2004-01,70806.16
Nuclear,2003-12,68611.699
Nuclear,2003-11,59600.02
Nuclear,2003-10,60016.207
Nuclear,2003-09,63583.645
Nuclear,2003-08,69023.878
Nuclear,2003-07,69652.754
Nuclear,2003-06,64180.727
Nuclear,2003-05,62201.96
Nuclear,2003-04,56775.591
Nuclear,2003-03,59933.261
Nuclear,2003-02,60941.869
Nuclear,2003-01,69211.084
Nuclear,2002-12,68905.472
Nuclear,2002-11,61520.324
Nuclear,2002-10,60493.052
Nuclear,2002-09,64480.79
Nuclear,2002-08,70777.688
Nuclear,2002-07,70420.827
Nuclear,2002-06,66371.896
Nuclear,2002-05,63032.192
Nuclear,2002-04,58437.062
Nuclear,2002-03,63040.647
Nuclear,2002-02,61658.274
Nuclear,2002-01,70925.863
Nuclear,2001-12,67430.878
Nuclear,2001-11,62341.711
Nuclear,2001-10,60460.967
Nuclear,2001-09,63378.451
Nuclear,2001-08,68389.496
Nuclear,2001-07,69166.04
Nuclear,2001-06,68023.098
Nuclear,2001-05,61512.445
Nuclear,2001-04,56003.026
Nuclear,2001-03,62140.712
Nuclear,2001-02,61272.407
Nuclear,2001-01,68707.077
Hydro,2025-04,22414.84826
Hydro,2025-03,22034.00596
Hydro,2025-02,19331.17353
Hydro,2025-01,21192.35254
Hydro,2024-12,20384.32831
Hydro,2024-11,18275.92039
Hydro,2024-10,15821.35795
Hydro,2024-09,16665.75643
Hydro,2024-08,21364.13449
